brand_raw,price_discounted,price_mrp,page
"Multical-1000 Sachets (1 Box = 10 Sachets)

Rs. 23.75

Rs. 25.00","23.75

 25.00","23.75

 25.00",1
"Transamin Im/Iv Injection 250mg 5ml (1 Box = 10 Ampoules)

Rs. 24.58

Rs. 25.87","24.58

 25.87","24.58

 25.87",1
"Fusimed-H Cream 15g

Rs. 286.90

Rs. 302.00","286.90

 302.00","286.90

 302.00",1
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",1
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",1
"Atcomid Tablets 100mg (1 Box = 1 Strip)(1 Strip = 14 Tablets)

Rs. 665.00

Rs. 700.00","665.00

 700.00","665.00

 700.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Fusimed-H Cream 15g

Rs. 286.90

Rs. 302.00","286.90

 302.00","286.90

 302.00",1
"Ivermite Tablets 6mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 428.50

Rs. 451.00","428.50

 451.00","428.50

 451.00",1
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Ossobon-D Suspension 120ml

Rs. 475.00

Rs. 500.00","475.00

 500.00","475.00

 500.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Progeffik Softgel Capsules 200mg (1 Box = 1 Strip)(1 Strip = 15 Capsules)

Rs. 1,956.30

Rs. 2,059.24","1,956.30

 2,059.24","1,956.30

 2,059.24",2
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",2
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",2
"Alphagan Eye Drops 0.2% 5ml

Rs. 807.50

Rs. 850.00","807.50

 850.00","807.50

 850.00",2
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",2
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",2
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",2
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",2
"Brivace Tablets 50mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 1,309.14

Rs. 1,378.00","1,309.14

 1,378.00","1,309.14

 1,378.00",2
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",2
"Tenofo-B Tablets 300mg

Rs. 4,065.90

Rs. 4,280.00","4,065.90

 4,280.00","4,065.90

 4,280.00",2
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",2
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",2
"Sinemet Tablets 25mg/250mg (1 Strip = 10 Tablets)

Rs. 269.30

Rs. 283.52","269.30

 283.52","269.30

 283.52",2
"Progeffik Softgel Capsules 200mg (1 Box = 1 Strip)(1 Strip = 15 Capsules)

Rs. 1,956.30

Rs. 2,059.24","1,956.30

 2,059.24","1,956.30

 2,059.24",3
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",3
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",3
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",3
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",3
"Kleen Enema Rectal Liquid 135ml

Rs. 237.50

Rs. 250.00","237.50

 250.00","237.50

 250.00",3
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",3
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",3
"Sinemet Tablets 25mg/250mg (1 Strip = 10 Tablets)

Rs. 269.30

Rs. 283.52","269.30

 283.52","269.30

 283.52",3
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",3
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",3
"Drate Plus D Tablets 70mg/70mcg (1 Box = 1 Strip)(1 Strip = 4 Tablets)

Rs. 936.84

Rs. 986.14","936.84

 986.14","936.84

 986.14",3
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",3
"Descol Tablets 20mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 361.00

Rs. 380.00","361.00

 380.00","361.00

 380.00",3
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",3
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",4
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",4
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",4
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",4
"Alphagan Eye Drops 0.2% 5ml

Rs. 807.50

Rs. 850.00","807.50

 850.00","807.50

 850.00",4
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",4
"Advantec Tablets 16mg+12.5mg (1 Strip = 7 Tablets)

Rs. 299.25

Rs. 315.00","299.25

 315.00","299.25

 315.00",4
"Nutrifactor Biotin Plus Tablets 2500mcg (1 Bottle = 30 Tablets)

Rs. 697.32

Rs. 734.02","697.32

 734.02","697.32

 734.02",4
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",4
"Tenofo-B Tablets 300mg

Rs. 4,065.90

Rs. 4,280.00","4,065.90

 4,280.00","4,065.90

 4,280.00",4
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",4
"Rs. 9,500.00","10,000.00","1,666.20

 1,753.92",4
"Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",4
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",4
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",4
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",4
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",4
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",5
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",5
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",5
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",5
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",5
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",5
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",5
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",5
"Butyn Tablets 5mg (1 Strip = 10 Tablets)

Rs. 541.50

Rs. 570.00","541.50

 570.00","541.50

 570.00",5
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",5
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",5
"Nassa Tablets 15mg (1 Strip = 10 Tablets)

Rs. 323.00

Rs. 340.00","323.00

 340.00","323.00

 340.00",5
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",5
"Rosemary Oil 10ml

Rs. 921.50

Rs. 970.00","921.50

 970.00","921.50

 970.00",5
"Tenofo-B Tablets 300mg

Rs. 4,065.90

Rs. 4,280.00","4,065.90

 4,280.00","4,065.90

 4,280.00",5
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",5
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",5
"Rosemary Oil 10ml

Rs. 921.50

Rs. 970.00","921.50

 970.00","921.50

 970.00",5
"Tenofo-B Tablets 300mg

Rs. 4,065.90

Rs. 4,280.00","4,065.90

 4,280.00","4,065.90

 4,280.00",6
"Dermive Urea Lotion 100ml

Rs. 1,004.15

Rs. 1,057.00","1,004.15

 1,057.00","1,004.15

 1,057.00",6
"Solophar Mouth & Throat Spray 50ml

Rs. 1,212.96

Rs. 1,276.80","1,212.96

 1,276.80","1,212.96

 1,276.80",6
"Hytrin Tablets 5mg (1 Strip = 10 Tablets)

Rs. 845.70

Rs. 890.22","845.70

 890.22","845.70

 890.22",6
"Gvia-M Tablets 50mg/1000mg (1 Strip = 7 Tablets)

Rs. 259.35

Rs. 273.00","259.35

 273.00","259.35

 273.00",6
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",6
"Risp Tablets 4mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 615.60

Rs. 648.00","615.60

 648.00","615.60

 648.00",6
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",6
"Lysovit Syrup 120ml

Rs. 228.00

Rs. 240.00","228.00

 240.00","228.00

 240.00",6
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",6
"Gravinate Im/Iv Injection 50mg (1 Box = 25 Ampoules)

Rs. 653.25

Rs. 687.52","653.25

 687.52","653.25

 687.52",6
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",6
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",6
"Progeffik Softgel Capsules 200mg (1 Box = 1 Strip)(1 Strip = 15 Capsules)

Rs. 1,956.30

Rs. 2,059.24","1,956.30

 2,059.24","1,956.30

 2,059.24",7
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",7
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",7
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",7
"Healthaid Zinc Sulphate Tablets 200mg (1 Box = 90 Tablets)

Rs. 2,802.50

Rs. 2,950.00","2,802.50

 2,950.00","2,802.50

 2,950.00",7
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",7
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",7
"Azotek Tablets 250mg (1 Box = 1 Strip)(1 Strip = 6 Tablets)

Rs. 38.79

Rs. 40.83","38.79

 40.83","38.79

 40.83",7
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",7
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",7
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",7
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",7
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",7
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",7
"Gravibinan Im Injection 5mg/2ml (1 Box = 1 Injection)

Rs. 15.97

Rs. 16.81","15.97

 16.81","15.97

 16.81",7
"Gravibinan Im Injection 5mg/2ml (1 Box = 1 Injection)

Rs. 15.97

Rs. 16.81","15.97

 16.81","15.97

 16.81",8
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",8
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",8
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",8
"Gravibinan Im Injection 5mg/2ml (1 Box = 1 Injection)

Rs. 15.97

Rs. 16.81","15.97

 16.81","15.97

 16.81",8
"Hair Aid Softgel Capsules (1 Box = 30 Capsules)

Rs. 1,054.50

Rs. 1,110.00","1,054.50

 1,110.00","1,054.50

 1,110.00",8
"Cadik Tablets (1 Bottle = 30 Tablets)

Rs. 736.26

Rs. 775.00","736.26

 775.00","736.26

 775.00",8
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",8
"Uperio Tablets 50mg (1 Box = 4 Strips) (1 Strip = 7 Tablets)

Rs. 2,544.08

Rs. 2,677.97","2,544.08

 2,677.97","2,544.08

 2,677.97",8
"Fildil Tablets 10mg (1 Box = 10 Tablets )

Rs. 712.50

Rs. 750.00","712.50

 750.00","712.50

 750.00",8
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",8
"Healthaid Zinc Sulphate Tablets 200mg (1 Box = 90 Tablets)

Rs. 2,802.50

Rs. 2,950.00","2,802.50

 2,950.00","2,802.50

 2,950.00",8
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",8
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",8
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",8
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",9
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",9
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",9
"Gravibinan Im Injection 5mg/2ml (1 Box = 1 Injection)

Rs. 15.97

Rs. 16.81","15.97

 16.81","15.97

 16.81",9
"Healthaid Zinc Sulphate Tablets 200mg (1 Box = 90 Tablets)

Rs. 2,802.50

Rs. 2,950.00","2,802.50

 2,950.00","2,802.50

 2,950.00",9
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",9
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",9
"Oratraxin Gel 10g

Rs. 401.86

Rs. 423.01","401.86

 423.01","401.86

 423.01",9
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",9
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",9
"Kleen Enema Rectal Liquid 135ml

Rs. 237.50

Rs. 250.00","237.50

 250.00","237.50

 250.00",9
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",9
"Atcomid Tablets 100mg (1 Box = 1 Strip)(1 Strip = 14 Tablets)

Rs. 665.00

Rs. 700.00","665.00

 700.00","665.00

 700.00",9
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",10
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",10
"Kleen Enema Rectal Liquid 135ml

Rs. 237.50

Rs. 250.00","237.50

 250.00","237.50

 250.00",10
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",10
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",10
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",10
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",10
"Nassa Tablets 15mg (1 Strip = 10 Tablets)

Rs. 323.00

Rs. 340.00","323.00

 340.00","323.00

 340.00",10
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",10
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",10
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",10
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",10
"Fibre One Cereals

Rs. 213.78

Rs. 225.00","213.78

 225.00","213.78

 225.00",10
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",10
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",11
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",11
"Kleen Enema Rectal Liquid 135ml

Rs. 237.50

Rs. 250.00","237.50

 250.00","237.50

 250.00",11
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",11
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",11
"Sangobion Capsules (1 Strip = 10 Capsules)

Rs. 346.75

Rs. 364.99","346.75

 364.99","346.75

 364.99",11
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",11
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",11
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",11
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",11
"Oxyclor Tablets 200mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 500.10

Rs. 526.41","500.10

 526.41","500.10

 526.41",11
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",11
"Triforge Tablets 10/160/12.5mg (1 Box = 4 Strips) (1 Strip = 7 Tablets)

Rs. 452.20

Rs. 476.00","452.20

 476.00","452.20

 476.00",11
"Fibre One Cereals

Rs. 213.78

Rs. 225.00","213.78

 225.00","213.78

 225.00",11
"Sita-Met Tablets 50/500mg (1 Strip = 7 Tablets)

Rs. 304.57

Rs. 320.62","304.57

 320.62","304.57

 320.62",11
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",11
"Terbimax Tablets 250mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 807.50

Rs. 850.00","807.50

 850.00","807.50

 850.00",11
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",12
"Myteka Tablets 10mg (1 Strip = 7 Tablets)

Rs. 2,427.25

Rs. 2,554.96","2,427.25

 2,554.96","2,427.25

 2,554.96",12
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",12
"Artheget-Ez Tablets 80mg+480mg (1 Box = 2 Strips) (1 Strip = 3 Tablets)

Rs. 585.18

Rs. 616.00","585.18

 616.00","585.18

 616.00",12
"Funge Tablets 250mg (1 Box = 2 Strips) (1 Strip = 5 Tablets)

Rs. 760.00

Rs. 800.00","760.00

 800.00","760.00

 800.00",12
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",12
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",12
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",12
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",12
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",12
"Multical-1000 Sachets (1 Box = 10 Sachets)

Rs. 23.75

Rs. 25.00","23.75

 25.00","23.75

 25.00",12
"Funge Tablets 250mg (1 Box = 2 Strips) (1 Strip = 5 Tablets)

Rs. 760.00

Rs. 800.00","760.00

 800.00","760.00

 800.00",12
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",12
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",12
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",12
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",12
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",13
"Kleen Enema Rectal Liquid 135ml

Rs. 237.50

Rs. 250.00","237.50

 250.00","237.50

 250.00",13
"Atcomid Tablets 100mg (1 Box = 1 Strip)(1 Strip = 14 Tablets)

Rs. 665.00

Rs. 700.00","665.00

 700.00","665.00

 700.00",13
"Covam Plus Tablets 10mg+160mg+25mg (1 Box = 4 Strips) (1 Strip = 7 Tablets)

Rs. 584.36

Rs. 615.00","584.36

 615.00","584.36

 615.00",13
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",13
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",13
"Kleen Enema Rectal Liquid 135ml

Rs. 237.50

Rs. 250.00","237.50

 250.00","237.50

 250.00",13
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",13
"Inosita Plus Xr Tablets 50mg/500mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 651.70

Rs. 686.00","651.70

 686.00","651.70

 686.00",13
"Tasmi Tablets 40mg (1 Strip = 7 Tablets)

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",13
"Sangobion Capsules (1 Strip = 10 Capsules)

Rs. 346.75

Rs. 364.99","346.75

 364.99","346.75

 364.99",14
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",14
"Iroxide-F Tablets 100mg + 0.35mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 107.70

Rs. 113.33","107.70

 113.33","107.70

 113.33",14
"Fungone Capsules 150mg (1 Box = 1 Capsule)

Rs. 251.75

Rs. 265.00","251.75

 265.00","251.75

 265.00",14
"Allergen-Specific Immunoglobulin E (Ige) Test

Rs. 2,384.50

Rs. 2,510.00","2,384.50

 2,510.00","2,384.50

 2,510.00",14
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",14
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",14
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",14
